IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.72812504,0.85740376,0.00016950665,84394,15962155,6.803457e-05,12.717743,11278,5958.101637125015
0.7375,0.8226916,0.00019347787,84397,15962515,0.00010626516,20.934002,11280,5958.7604377269745
0.734375,0.8610031,0.00018823861,84397,15962515,9.8619246e-05,15.537849,11281,5959.477680921555
0.75937504,0.82772666,0.0001562666,84400,15962817,0.00011416398,17.179543,11282,5959.733300447464
0.709375,0.8529444,0.00016084868,84401,15962885,5.1038565e-05,10.006849,11283,5960.029540777206
0.72812504,0.87416697,0.00015774513,84401,15962885,7.910318e-05,12.2199135,11284,5960.425093173981
0.771875,0.7189471,0.00019519009,84401,15962885,0.00010155048,12.982731,11285,5960.641660690308
0.69687504,0.9133879,0.00016400874,84408,15964470,0.00013328197,20.34454,11286,5961.328804731369
0.79062504,0.6649624,0.00019868252,84408,15964470,7.473147e-05,14.106178,11287,5961.897536754608
0.71875,0.86091816,0.00017735186,84408,15964470,0.000100270954,22.440073,11288,5962.421082735062
0.73125,0.9145142,0.00016231117,84408,15964470,0.00014019455,18.62893,11289,5962.860605239868
0.78125,0.6711943,0.00016329261,84414,15966194,8.318144e-05,14.914113,11290,5963.295352697372
0.734375,0.79693836,0.0001639038,84421,15967008,6.565606e-05,11.750847,11291,5963.590148925781
0.72812504,0.8170803,0.00014977425,84432,15970607,0.0001239082,21.80989,11292,5964.071933031082
0.64375,1.0695285,0.00020785102,84435,15971173,7.733498e-05,26.000187,11293,5964.641988515854
0.75937504,0.7205537,0.00018732925,84436,15971306,0.00053663773,18.772203,11294,5965.101684331894
0.65000004,1.0537032,0.00015822485,84437,15971471,0.00010305573,13.982534,11295,5965.792110919952
0.75,0.84361947,0.00017874624,84437,15971471,5.6162913e-05,11.951874,11296,5965.973650932312
0.709375,0.9525014,0.00018804274,84437,15971471,0.00013060412,19.528645,11297,5966.946238517761
0.721875,0.8773286,0.0001664694,84437,15971471,0.00044480432,16.189438,11298,5967.173038482666
0.63125,1.0732033,0.00018130362,84439,15971728,0.000115875024,20.791937,11299,5967.46718287468
0.66562504,0.98403835,0.00015870955,84443,15972185,7.813421e-05,13.489059,11300,5968.037392139435
0.746875,0.78864163,0.00015000677,84445,15972587,9.71973e-05,15.472366,11301,5968.640841007233
0.753125,0.69394785,0.00017861796,84447,15972700,0.00010533264,15.943251,11302,5968.906240701675
0.77500004,0.7891722,0.00017928208,84451,15973180,8.2875675e-05,13.430845,11304,5969.680532455444
0.671875,0.9340274,0.00018507408,84454,15974380,0.00011874869,27.436043,11305,5970.2516667842865
0.796875,0.6603114,0.00016431883,84456,15975387,0.001737685,22.056412,11306,5970.946700811386
0.78125,0.7124985,0.00014122296,84456,15975387,0.00018334185,21.257055,11307,5971.234418869019
0.709375,0.832462,0.00016433663,84472,15980865,9.702484e-05,18.398533,11308,5971.478823423386
0.74375004,0.8536388,0.00017919262,84485,15983715,9.203798e-05,13.799309,11309,5971.735458850861
0.740625,0.9388842,0.00018802214,84485,15983715,7.583922e-05,11.896876,11310,5972.739736795425
0.734375,0.8384159,0.00017771898,84485,15983715,7.972333e-05,11.083134,11312,5973.900035381317
0.684375,0.9758114,0.00018791505,84486,15990465,0.00010580719,15.956095,11315,5975.119737625122
0.703125,0.9278118,0.00016270464,84488,15990831,6.822347e-05,18.752132,11316,5975.337113142014
0.75625,0.77583486,0.00016584147,84491,15991193,0.00010555002,17.22463,11317,5975.755294799805
