IDM accuracy,IDM loss,RND loss,actor_episodes,actor_steps,evaluator_episodes,evaluator_steps,extrinsic UVFA loss,intrinsic UVFA loss,learner_steps,learner_time_elapsed
0.6,1.0661479,0.00020558397,174598,74756104,1679,1213207,0.0035825884,19.981781,55737,27459.367421627045
0.60625,1.0288604,0.000246531,174599,74756334,1679,1213207,0.003844627,25.970078,55738,27459.698786735535
0.615625,0.99458104,0.00018196313,174599,74756334,1679,1213207,0.004857801,27.083706,55740,27460.18486070633
0.6625,0.9712426,0.0002589638,174599,74756334,1679,1213207,0.010093057,23.807274,55741,27460.671034812927
0.63437504,1.0177846,0.00021015677,174600,74756875,1679,1213207,0.0072780065,17.862041,55742,27460.803460121155
0.625,1.0020769,0.00016724924,174601,74757095,1679,1213207,0.0052838186,61.213882,55743,27461.182686567307
0.53125,1.2324989,0.0001883443,174601,74757095,1679,1213207,0.0064367997,28.81279,55744,27461.630982875824
0.675,0.8324041,0.00023729692,174602,74757418,1679,1213207,0.0068638283,26.594631,55745,27462.304345846176
0.559375,1.1239872,0.00013632435,174603,74757733,1679,1213207,0.0076448186,22.580042,55747,27462.776431322098
0.6125,0.98704845,0.00016756236,174603,74757733,1679,1213207,0.0043340176,23.58925,55748,27463.02287364006
0.6,1.1028556,0.00021348159,174604,74758145,1679,1213207,0.008470997,37.357254,55749,27463.358618974686
0.640625,0.96910536,0.0002178658,174605,74758371,1679,1213207,0.009381851,51.417023,55750,27463.738778829575
0.63125,0.87047637,0.00024519683,174618,74772396,1679,1213207,0.0037792858,22.386776,55751,27464.270787477493
0.653125,0.91726923,0.00016746193,174621,74779964,1679,1213207,0.004301696,26.356602,55752,27464.698554039
0.6375,1.0489157,0.00023581545,174623,74780212,1679,1213207,0.004622466,47.80751,55753,27465.216370821
0.65625,0.99180984,0.00017297767,174624,74780584,1679,1213207,0.0060922205,16.678118,55754,27466.009560585022
0.64375,0.9680876,0.00018218003,174624,74780584,1679,1213207,0.004760799,25.417694,55755,27466.59420132637
0.575,1.079599,0.00020307324,174631,74781988,1679,1213207,0.005994333,24.465296,55756,27467.01061940193
0.66875,0.8678021,0.00021958626,174631,74781988,1679,1213207,0.003326279,26.47735,55759,27468.280544757843
0.6625,0.9515387,0.00019151243,174631,74781988,1679,1213207,0.004539624,22.657978,55763,27469.621364355087
0.521875,1.2119553,0.00015532102,174633,74782450,1679,1213207,0.007831725,17.276463,55764,27469.98952436447
0.55625004,1.1340952,0.00018474479,174635,74783431,1679,1213207,0.0046480964,27.24221,55765,27470.33045387268
0.575,0.8943073,0.00020111448,174635,74783431,1679,1213207,0.0067332974,32.131683,55766,27470.574709653854
0.7,0.9046256,0.00020075506,174637,74783919,1679,1213207,0.0043771598,28.886248,55767,27470.87283229828
0.590625,1.0308468,0.0002693072,174640,74784595,1679,1213207,0.0099369865,50.914055,55768,27471.202232837677
0.584375,1.0823935,0.00021725931,174640,74784595,1679,1213207,0.0079109,25.661411,55769,27471.422934770584
0.6,1.0560706,0.00017947912,174641,74784851,1679,1213207,0.007566349,19.66753,55770,27471.894005060196
0.615625,1.0586184,0.0001593991,174642,74785097,1679,1213207,0.005551859,16.63295,55771,27472.513294935226
0.596875,1.0029478,0.00027841757,174642,74785097,1679,1213207,0.004675447,28.574726,55773,27474.963406801224
0.575,1.0519041,0.00021961423,174643,74785278,1679,1213207,0.008009921,49.169006,55775,27476.214030504227
0.59375,0.98959583,0.00021619725,174644,74785506,1679,1213207,0.0068704756,24.947588,55776,27477.053082942963
0.646875,0.9864084,0.00023799953,174645,74785781,1679,1213207,0.0055800322,14.683492,55777,27477.33992242813
0.671875,0.9074907,0.00020736548,174647,74786576,1679,1213207,0.0042692656,18.760372,55778,27478.418632030487
0.58750004,1.001613,0.00022512545,174648,74786989,1679,1213207,0.00407967,20.454224,55779,27478.837022066116
0.671875,0.9016552,0.0001871848,174648,74786989,1679,1213207,0.002685714,20.81652,55780,27479.01310658455
0.640625,0.9345838,0.00020336662,174648,74786989,1679,1213207,0.003919194,21.01894,55781,27480.09176301956
0.615625,0.9501529,0.0001893174,174650,74788118,1679,1213207,0.006790108,20.069134,55782,27480.34894967079
0.58750004,1.0493184,0.00018502526,174652,74788915,1679,1213207,0.005385701,11.637494,55783,27480.78388261795
